 Author Id, Author Name, Country, City, Last Article, Online, Reads, Co Author Reads, Historic Total, Profile Views,
"3170968","Jared Kornfeld","United States","Florida","01 Jul 2025","8","5360","209","6504","88",
"3180428","Jeffrey Bernstein","United States","Florida","07 Jul 2025","14","3913","494","5224","92",
"3185626","Michael  Kramarz","United States","Florida","03 Jul 2025","10","3302","0","4023","43",
"3237200","Vera Nieuwland","United States","Florida","02 Jul 2025","6","3048","0","3048","14",
"1353578","Todd Kesterson","United States","Florida","14 Jul 2025","11","2747","502","4252","44",
"3173876","Jay  Pelham","United States","Florida","10 Jul 2025","8","2675","0","3709","71",
"3144034","Kaufman Rossin","United States","Florida","04 Jun 2025","9","1878","0","4727","62",
"3198360","Jason  Chorlins","United States","Florida","10 Mar 2025","7","1774","98","2353","32",
"3142292","Peter Stratos","United States","Florida","16 Jul 2025","8","1523","210","4268","74",
"3198328","Ian Goldberger","United States","Boca Raton","07 Jul 2025","7","1316","694","2514","70",
"3219568","Jorge Rey","United States","Boca Raton","15 Apr 2025","4","1225","801","2026","64",
"3173106","Claudia Sotolongo Gonzalez, CPA","United States","Boca Raton","05 Dec 2024","3","1208","53","1619","29",
"3153980","Louis Guay","United States","Boca Raton","14 Jul 2025","7","1180","525","2856","75",
"3241738","Ivan Garces","United States","Florida","27 Dec 2024","2","926","0","926","5",
"3222432","Evan  Morgan","United States","Florida","17 Jul 2025","4","863","0","863","39",
"3283900","Kanishk  Mehta","United States","Florida","13 Jun 2025","2","801","232","1033","14",
"3231100","Lilia  Restrepo","United States","Florida","12 Jun 2025","4","621","607","1228","13",
"3295940","Meredith Tucker","United States","Florida","14 Jul 2025","3","585","124","709","15",
"3242492","Albert Primo","United States","Florida","09 May 2025","2","564","0","564","13",
"3142298","Justen Ghwee","United States","Florida","11 Feb 2025","3","543","266","1778","19",
"3303024","Blain Heckaman","United States","Florida","27 Jun 2025","2","532","0","532","22",
"3251100","Raymond Villanueva","United States","Florida","06 Jan 2025","1","474","0","474","8",
"3214036","Alex  Egan, CAMS","United States","Florida","23 Oct 2024","2","451","0","451","35",
"3228206","Stephanie  Richards","United States","Florida","26 Sep 2024","1","430","0","430","2",
"3283904","James  Wolcott","United States","Florida","15 May 2025","3","400","1914","2314","19",
"3158982","Michelle Sadeghy","United States","Boca Raton","23 Jul 2024","3","398","263","1622","66",
"3142218","Bao Nguyen","United States","Boca Raton","20 Nov 2024","2","396","0","1544","6",
"3203224","Matthew Hellinger","United States","Florida","26 Jun 2024","2","382","0","653","72",
"3142204","Scott Demar","United States","Florida","22 Aug 2024","3","380","0","1254","13",
"3148474","Ken Rios, JD","United States","Florida","11 Jul 2025","4","364","369","1256","10",
"3262788","Heidi Suarez","United States","Florida","19 Feb 2025","1","347","0","347","5",
